행정구역,2025년10월_거주자_총인구수,2025년10월_거주자_연령구간인구수,2025년10월_거주자_0~9세,2025년10월_거주자_10~19세,2025년10월_거주자_20~29세,2025년10월_거주자_30~39세,2025년10월_거주자_40~49세,2025년10월_거주자_50~59세,2025년10월_거주자_60~69세,2025년10월_거주자_70~79세,2025년10월_거주자_80~89세,2025년10월_거주자_90~99세,2025년10월_거주자_100세 이상
전국  (0000000000),"50,921,853","50,921,853","2,981,687","4,624,305","5,720,035","6,638,869","7,558,535","8,595,763","7,847,204","4,451,484","2,137,792","357,740","8,439"
서울특별시  (1100000000),"9,246,276","9,246,276","463,396","717,839","1,263,443","1,451,708","1,355,665","1,455,421","1,304,157","813,515","366,056","53,733","1,343"
부산광역시  (2600000000),"3,233,188","3,233,188","171,511","264,043","341,811","387,016","459,153","527,373","550,389","358,608","152,313","20,551",420
대구광역시  (2700000000),"2,348,042","2,348,042","135,395","212,784","255,735","284,053","335,599","411,272","376,932","219,007","101,675","15,315",275
인천광역시  (2800000000),"3,034,595","3,034,595","190,146","275,285","339,680","428,160","471,474","512,569","468,203","229,634","101,272","17,663",509
광주광역시  (2900000000),"1,391,771","1,391,771","87,032","144,179","172,557","173,152","213,173","240,602","192,594","108,747","51,359","8,193",183
대전광역시  (3000000000),"1,437,071","1,437,071","87,295","135,781","188,888","193,591","208,870","241,541","207,385","113,450","51,453","8,599",218
울산광역시  (3100000000),"1,089,894","1,089,894","68,144","109,554","111,800","136,288","168,819","198,475","178,021","84,295","30,016","4,389",93
세종특별자치시  (3600000000),"391,614","391,614","39,072","53,939","36,652","58,051","76,446","58,683","39,266","19,304","8,384","1,776",41
경기도  (4100000000),"13,662,497","13,662,497","895,683","1,325,295","1,566,553","1,913,040","2,174,837","2,341,545","1,942,766","970,644","453,333","76,874","1,927"
강원특별자치도  (5100000000),"1,504,000","1,504,000","81,334","125,465","148,629","157,806","194,754","256,843","278,299","157,814","88,046","14,580",430
충청북도  (4300000000),"1,588,636","1,588,636","93,638","142,993","167,224","191,557","221,059","270,433","266,984","144,679","76,219","13,541",309
충청남도  (4400000000),"2,130,383","2,130,383","127,510","202,569","213,375","251,267","313,271","350,315","338,414","200,518","110,100","22,572",472
전북특별자치도  (5200000000),"1,722,032","1,722,032","88,932","159,715","173,601","172,293","227,117","297,854","289,287","189,196","103,634","19,968",435
전라남도  (4600000000),"1,775,350","1,775,350","96,365","155,574","160,262","169,565","227,091","303,194","314,728","202,882","123,015","22,142",532
경상북도  (4700000000),"2,504,129","2,504,129","130,386","215,086","223,009","252,456","333,094","433,598","458,994","281,396","148,500","27,046",564
경상남도  (4800000000),"3,200,781","3,200,781","181,137","314,152","290,712","342,215","476,057","577,739","543,607","305,129","144,638","24,901",494
제주특별자치도  (5000000000),"661,594","661,594","44,711","70,052","66,104","76,651","102,056","118,306","97,178","52,666","27,779","5,897",194
